twitterid,twitter_username,twitter_userid,domain,name,followers_count,tweet_count
ID0314,gulbenergen,89006817,,Gülben Ergen Çelik,4297292,53845
ID0315,cerati,8273632,cerati.com,Gustavo Cerati,3402396,662
ID0316,gusttavo_lima,126676337,gusttavolima.com.br,Gusttavo Lima,14775409,20872
ID0317,haashoficial,42916821,ha-ash.com,Ha*Ash,5654419,13363
ID0318,Hadise,46357464,twist.com.tr,HADISE ACIKGOZ,3395627,6460
ID0319,HaifaWehbe,20837438,haifawehbe.com,Haifa Wehbe,7249293,23033
ID0320,HamzaNamira,110681593,hamzanamira.com,Hamza Namira,7988427,7347
ID0321,handeyener,156954768,handeyener.com,Hande Yener,3480770,65903
ID0322,HARDWELL,21787625,,Hardwell,7206014,12213
ID0323,Harry_Styles,181561712,onedirectionmusic.com,Harry Styles.,37607381,5612
ID0324,bhogleharsha,78941611,,Harsha Bhogle,8909799,63512
ID0325,HayesGrier,330705266,,Hayes Grier,3563188,8745
ID0326,yelyahwilliams,,smarturl.it,hayley from Paramore,,
ID0327,heidiklum,262359713,heidiklum.com,Heidi Klum,4841337,7017
ID0328,henrylau89,131264923,,Henry Lau,3451513,1862
ID0329,HilaryDuff,200913899,smarturl.it,Hilary Duff,4542978,4421
ID0330,hollywills,20508222,officialhollywilloughby.com,Holly Willoughby,7272436,7207
ID0331,iHrithik,113419517,,Hrithik Roshan,31577837,6016
ID0332,RealHughJackman,27042513,,Hugh Jackman,14767942,4146
ID0333,hulyavsar,91845185,hulyaavsar.com.tr,Hulya Avsar,4082662,4977
ID0334,huryazarlar,,hurriyet.com.tr,Hürriyet Yazarlar,,
ID0335,IanMcKellen,104969057,McKellen.com,Ian McKellen,4119603,2933
ID0336,iansomerhalder,58233603,omaze.com,Ian Somerhalder,7150935,10099
ID0337,icecube,19671129,icecube.com,Ice Cube,5701680,9271
ID0338,IGGYAZALEA,153694176,iggyazalea.com,IGGY AZALEA,7647257,9576
ID0339,CasillasWorld,7.89098E+17,ikercasillasworld.com,Iker Casillas,0,1
ID0340,Imaginedragons,75916180,imaginedragonsmusic.com,Imagine Dragons,5668876,8523
ID0341,INDONESIAinLOVE,257861295,indonesiainlove.id,INDONESIAinLOVE,5028265,61176
ID0342,indrabektiasli,54641845,,INDRA BEKTI,4091045,58735
ID0343,llcoolj,19330043,m.kohls.com,Instagram  @LLCOOLJ,5021929,34360
ID0344,iqbaale,141186163,,IqbaalDhiafakhri-IDR,2804679,15505
ID0345,IrfanBachdim10,214690684,jenniferbachdim.com,Irfan Bachdim,4719760,3536
ID0346,isco_alarcon,304596944,,ISCO ALARCON,5507456,1018
ID0347,cala,28058878,ismaelcala.com,Ismael Cala,3167382,101446
ID0348,urgantcom,114557496,urgantshow.ru,Ivan Urgant,4407951,1071
ID0349,ivetesangalo,14502789,ivetesangalo.com,Ivete Sangalo,17102340,45373
ID0350,iyavillania,60583926,iyavillania.com,IyaVillaniaArellano,4360318,26232
ID0351,JAlvarezFlow,86962432,youtu.be,J Alvarez Flow,3457564,72767
ID0352,JBALVIN,44670915,jbalvinelnegocio.com,J Balvin,10643449,31729
ID0353,joejonas,104249727,republicrec.co,J O E  J O N A S,10001628,11365
ID0354,JColeNC,19028953,dreamvillain.net,J. Cole,14219202,2865
ID0355,jk_rowling,62513246,jkrowling.com,J.K. Rowling,13999909,14714
ID0356,jack,12,,Jack,6292980,28436
ID0357,jackgilinsky,278328390,apple.co,Jack Gilinsky,2908308,6179
ID0358,JackJackJohnson,,itun.es,Jack Johnson,,
ID0359,jackwhitehall,17336417,jackwhitehall.com,Jack Whitehall,6123225,10755
ID0360,JackHarries,315919021,jacksgap.com,Jackson Harries,1766578,8647
ID0361,jackybrv,58538830,jackybracamontes.com,JACKY BRACAMONTES,3398642,11523
ID0362,Asli_Jacqueline,79708561,,Jacqueline Fernandez,15722756,7620
ID0363,officialjaden,,MSFTSrep.com,Jaden Smith,,
ID0364,jaimecamil,109118967,jaimecamil.com,Jaime Camil,4162309,14695
ID0365,JakeTAustin,19882775,,Jake T. Austin,2846903,3547
ID0366,DebbouzeJamel,255030147,jameldebbouze.fr,Jamel Debbouze,7358518,5431
