youtubeid,Country,Channel_Name,Category,username,followers,Likes,Views,Views_Avg,Comments_Avg
ID1091,BR,Galinha Pintadinha,Movies,Galinha Pintadinha,30500000,53343498,22540668765,423923499,0
ID1091,BR,Galinha Pintadinha,Movies,Galinha Pintadinha,30500000,53343498,22540668765,423923499,0
ID1093,MX,GENIAL,Entertainment,GENIAL,31300000,43213041.98,6299463830,247359.2944,481.5174495
ID1093,MX,GENIAL,Entertainment,GENIAL,31300000,43213041.98,6299463830,247359.2944,481.5174495
ID1095,RU,Get Movies,Entertainment,Get Movies,40500000,16319224.4,28323109702,970253.4333,6.457063712
ID1095,RU,Get Movies,Entertainment,Get Movies,40500000,16319224.4,28323109702,970253.4333,6.457063712
ID1095,RU,Get Movies,Entertainment,Get Movies,40500000,16319224.4,28323109702,970253.4333,6.457063712
ID1095,RU,Get Movies,Entertainment,Get Movies,40500000,16319224.4,28323109702,970253.4333,6.457063712
ID1095,RU,Get Movies,Entertainment,Get Movies,40500000,16319224.4,28323109702,970253.4333,6.457063712
ID1095,RU,Get Movies,Entertainment,Get Movies,40500000,16319224.4,28323109702,970253.4333,6.457063712
ID1095,RU,Get Movies,Entertainment,Get Movies,40500000,16319224.4,28323109702,970253.4333,6.457063712
ID1095,RU,Get Movies,Entertainment,Get Movies,40500000,16319224.4,28323109702,970253.4333,6.457063712
ID1103,PH,GMANetwork,TV shows,GMANetwork,26900000,95213545.19,25604805615,92213.3,35.87454765
ID1103,PH,GMANetwork,TV shows,GMANetwork,26900000,95213545.19,25604805615,92213.3,35.87454765
ID1105,IN,Goldmines Gaane Sune Ansune,Music of Asia,Goldmines Gaane Sune Ansune,33800000,3356772.558,13932481911,143054.4143,38.6070862
ID1105,IN,Goldmines Gaane Sune Ansune,Music of Asia,Goldmines Gaane Sune Ansune,33800000,3356772.558,13932481911,143054.4143,38.6070862
ID1107,IN,Goldmines Telefilms,Movies,Goldmines Telefilms,72000000,63642295.56,17652030516,850610.1662,495.4768701
ID1107,IN,Goldmines Telefilms,Movies,Goldmines Telefilms,72000000,63642295.56,17652030516,850610.1662,495.4768701
ID1107,IN,Goldmines Telefilms,Movies,Goldmines Telefilms,72000000,63642295.56,17652030516,850610.1662,495.4768701
ID1107,IN,Goldmines Telefilms,Movies,Goldmines Telefilms,72000000,63642295.56,17652030516,850610.1662,495.4768701
ID1107,IN,Goldmines Telefilms,Movies,Goldmines Telefilms,72000000,63642295.56,17652030516,850610.1662,495.4768701
ID1107,IN,Goldmines Telefilms,Movies,Goldmines Telefilms,72000000,63642295.56,17652030516,850610.1662,495.4768701
ID1107,IN,Goldmines Telefilms,Movies,Goldmines Telefilms,72000000,63642295.56,17652030516,850610.1662,495.4768701
ID1107,IN,Goldmines Telefilms,Movies,Goldmines Telefilms,72000000,63642295.56,17652030516,850610.1662,495.4768701
ID1115,BR,GR6 EXPLODE,Music of Latin America,GR6 EXPLODE,37500000,245579644.7,23660684066,1665857.182,1047.185363
ID1115,BR,GR6 EXPLODE,Music of Latin America,GR6 EXPLODE,37500000,245579644.7,23660684066,1665857.182,1047.185363
ID1115,BR,GR6 EXPLODE,Music of Latin America,GR6 EXPLODE,37500000,245579644.7,23660684066,1665857.182,1047.185363
ID1115,BR,GR6 EXPLODE,Music of Latin America,GR6 EXPLODE,37500000,245579644.7,23660684066,1665857.182,1047.185363
ID1115,BR,GR6 EXPLODE,Music of Latin America,GR6 EXPLODE,37500000,245579644.7,23660684066,1665857.182,1047.185363
ID1115,BR,GR6 EXPLODE,Music of Latin America,GR6 EXPLODE,37500000,245579644.7,23660684066,1665857.182,1047.185363
ID1115,BR,GR6 EXPLODE,Music of Latin America,GR6 EXPLODE,37500000,245579644.7,23660684066,1665857.182,1047.185363
ID1115,BR,GR6 EXPLODE,Music of Latin America,GR6 EXPLODE,37500000,245579644.7,23660684066,1665857.182,1047.185363
ID1123,CL,HolaSoyGerman.,Entertainment,HolaSoyGerman.,43300000,222616795.2,4725838896,56337958,133934.96
ID1123,CL,HolaSoyGerman.,Entertainment,HolaSoyGerman.,43300000,222616795.2,4725838896,56337958,133934.96
ID1123,CL,HolaSoyGerman.,Entertainment,HolaSoyGerman.,43300000,222616795.2,4725838896,56337958,133934.96
ID1123,CL,HolaSoyGerman.,Entertainment,HolaSoyGerman.,43300000,222616795.2,4725838896,56337958,133934.96
ID1123,CL,HolaSoyGerman.,Entertainment,HolaSoyGerman.,43300000,222616795.2,4725838896,56337958,133934.96
ID1123,CL,HolaSoyGerman.,Entertainment,HolaSoyGerman.,43300000,222616795.2,4725838896,56337958,133934.96
ID1123,CL,HolaSoyGerman.,Entertainment,HolaSoyGerman.,43300000,222616795.2,4725838896,56337958,133934.96
ID1123,CL,HolaSoyGerman.,Entertainment,HolaSoyGerman.,43300000,222616795.2,4725838896,56337958,133934.96
ID1131,KR,ibighit,Music,ibighit,67300000,636497162.1,23493409219,2975123.594,98952.06735
ID1131,KR,ibighit,Music,ibighit,67300000,636497162.1,23493409219,2975123.594,98952.06735
ID1131,KR,ibighit,Music,ibighit,67300000,636497162.1,23493409219,2975123.594,98952.06735
ID1131,KR,ibighit,Music,ibighit,67300000,636497162.1,23493409219,2975123.594,98952.06735
ID1131,KR,ibighit,Music,ibighit,67300000,636497162.1,23493409219,2975123.594,98952.06735
ID1131,KR,ibighit,Music,ibighit,67300000,636497162.1,23493409219,2975123.594,98952.06735
ID1131,KR,ibighit,Music,ibighit,67300000,636497162.1,23493409219,2975123.594,98952.06735
ID1131,KR,ibighit,Music,ibighit,67300000,636497162.1,23493409219,2975123.594,98952.06735
ID340,US,ImagineDragons,Pop music,ImagineDragons,28300000,2304173.25,14094435442,1194245,1209.178571
ID340,US,ImagineDragons,Pop music,ImagineDragons,28300000,2304173.25,14094435442,1194245,1209.178571
ID1141,IN,Ishtar Music,Music of Asia,Ishtar Music,37400000,18094604,14749662467,126009.3542,235.4616205
ID1141,IN,Ishtar Music,Music of Asia,Ishtar Music,37400000,18094604,14749662467,126009.3542,235.4616205
ID1141,IN,Ishtar Music,Music of Asia,Ishtar Music,37400000,18094604,14749662467,126009.3542,235.4616205
ID1141,IN,Ishtar Music,Music of Asia,Ishtar Music,37400000,18094604,14749662467,126009.3542,235.4616205
ID1141,IN,Ishtar Music,Music of Asia,Ishtar Music,37400000,18094604,14749662467,126009.3542,235.4616205
ID1141,IN,Ishtar Music,Music of Asia,Ishtar Music,37400000,18094604,14749662467,126009.3542,235.4616205
ID1141,IN,Ishtar Music,Music of Asia,Ishtar Music,37400000,18094604,14749662467,126009.3542,235.4616205
ID1141,IN,Ishtar Music,Music of Asia,Ishtar Music,37400000,18094604,14749662467,126009.3542,235.4616205
ID352,CO,J Balvin,Music,J Balvin,33500000,3674660,21301599345,1208687.5,1529.96124
ID352,CO,J Balvin,Music,J Balvin,33500000,3674660,21301599345,1208687.5,1529.96124
ID1151,IE,jacksepticeye,Gaming,jacksepticeye,28500000,641050483.4,15393434205,2911652.646,11206.26311
ID1151,IE,jacksepticeye,Gaming,jacksepticeye,28500000,641050483.4,15393434205,2911652.646,11206.26311
ID1153,US,James Charles,Lifestyle,James Charles,24000000,182740860,3664440993,12810318.5,38414.74517
ID1153,US,James Charles,Lifestyle,James Charles,24000000,182740860,3664440993,12810318.5,38414.74517
ID1155,ID,Jess No Limit,Role-playing video game,Jess No Limit,24700000,118370103.3,3046560972,1522567.445,17449.32578
ID1155,ID,Jess No Limit,Role-playing video game,Jess No Limit,24700000,118370103.3,3046560972,1522567.445,17449.32578
ID1157,IN,Jkk Entertainment,Movies,Jkk Entertainment,35300000,57770963.73,14926283850,95969313,3806.336066
ID1157,IN,Jkk Entertainment,Movies,Jkk Entertainment,35300000,57770963.73,14926283850,95969313,3806.336066
ID1159,US,JuegaGerman,Gaming,JuegaGerman,45900000,641782272.8,13594315965,5479511.75,25812.18868
ID1159,US,JuegaGerman,Gaming,JuegaGerman,45900000,641782272.8,13594315965,5479511.75,25812.18868
ID1159,US,JuegaGerman,Gaming,JuegaGerman,45900000,641782272.8,13594315965,5479511.75,25812.18868
ID1159,US,JuegaGerman,Gaming,JuegaGerman,45900000,641782272.8,13594315965,5479511.75,25812.18868
ID1159,US,JuegaGerman,Gaming,JuegaGerman,45900000,641782272.8,13594315965,5479511.75,25812.18868
ID1159,US,JuegaGerman,Gaming,JuegaGerman,45900000,641782272.8,13594315965,5479511.75,25812.18868
ID1159,US,JuegaGerman,Gaming,JuegaGerman,45900000,641782272.8,13594315965,5479511.75,25812.18868
ID1159,US,JuegaGerman,Gaming,JuegaGerman,45900000,641782272.8,13594315965,5479511.75,25812.18868
ID1539,CA,Justin Bieber,Music,Justin Bieber,69400000,39350061.94,28347084231,6148176.5,7644.166667
ID1539,CA,Justin Bieber,Music,Justin Bieber,69400000,39350061.94,28347084231,6148176.5,7644.166667
ID1539,CA,Justin Bieber,Music,Justin Bieber,69400000,39350061.94,28347084231,6148176.5,7644.166667
ID1539,CA,Justin Bieber,Music,Justin Bieber,69400000,39350061.94,28347084231,6148176.5,7644.166667
